time,flight_id,event,gate,wait_time,task,duration
1866.8999999994048,FL063,task_completed,,,WATER,
1875.499999999498,FL071,task_completed,,,BAGGAGE_IN,
1875.499999999498,FL071,task_completed,,,GPU,
1875.499999999498,FL071,gate_end,c7,,,203.1999999998518
1876.0999999995545,FL070,task_completed,,,BAGGAGE_IN,
1876.0999999995545,FL070,task_completed,,,GPU,
1876.0999999995545,FL070,gate_end,c6,,,510.0999999995545
1877.2999999994688,FL072,task_completed,,,FUEL,
1877.9999999994636,FL072,task_completed,,,WATER,
1886.3999999994858,FL068,task_completed,,,WATER,
1887.2999999994688,FL072,task_completed,,,CLEAN,
1887.2999999994688,FL072,task_completed,,,CATERING,
1891.3999999994858,FL068,task_completed,,,FUEL,
1896.2999999993872,FL063,task_completed,,,BAGGAGE_IN,
1896.2999999993872,FL063,task_completed,,,GPU,
1896.2999999993872,FL063,gate_end,c8,,,234.6999999998052
1896.3999999994858,FL068,task_completed,,,BAGGAGE_OUT,
1897.1999999994553,FL072,task_completed,,,BAGGAGE_OUT,
1901.3999999994858,FL068,task_completed,,,CATERING,
1901.3999999994858,FL068,task_completed,,,CLEAN,
1916.3999999994858,FL068,task_completed,,,BAGGAGE_IN,
1916.3999999994858,FL068,task_completed,,,GPU,
1916.3999999994858,FL068,gate_end,c9,,,513.6999999995696
1916.3999999994858,FL073,gate_start,c9,512.3999999994858,,
1917.399999999437,FL072,task_completed,,,BAGGAGE_IN,
1917.399999999437,FL072,task_completed,,,GPU,
1917.399999999437,FL072,gate_end,c11,,,82.89999999994347
1917.5999999994451,FL066,task_completed,,,BAGGAGE_IN,
1917.5999999994451,FL066,task_completed,,,GPU,
1917.5999999994451,FL066,gate_end,c10,,,630.5999999994451
1917.5999999994451,FL069,gate_start,c10,574.5999999994451,,
1927.4999999994852,FL073,task_completed,,,WATER,
1928.6999999994446,FL069,task_completed,,,WATER,
1932.4999999994852,FL073,task_completed,,,FUEL,
1933.6999999994446,FL069,task_completed,,,FUEL,
1937.4999999994852,FL073,task_completed,,,BAGGAGE_OUT,
1938.6999999994446,FL069,task_completed,,,BAGGAGE_OUT,
1942.4999999994852,FL073,task_completed,,,CLEAN,
1942.4999999994852,FL073,task_completed,,,CATERING,
1943.6999999994446,FL069,task_completed,,,CLEAN,
1943.6999999994446,FL069,task_completed,,,CATERING,
1957.4999999994852,FL073,task_completed,,,BAGGAGE_IN,
1957.4999999994852,FL073,task_completed,,,GPU,
1957.4999999994852,FL073,gate_end,c9,,,41.099999999999454
1958.6999999994446,FL069,task_completed,,,BAGGAGE_IN,
1958.6999999994446,FL069,task_completed,,,GPU,
1958.6999999994446,FL069,gate_end,c10,,,41.099999999999454
