time,flight_id,event,gate,wait_time,task,duration
680.5,FL024,task_completed,,,CATERING,
681.7,FL025,task_completed,,,CLEAN,
681.7,FL025,task_completed,,,CATERING,
687.5,FL023,task_completed,,,BAGGAGE_IN,
687.5,FL023,task_completed,,,GPU,
687.5,FL023,gate_end,c4,,,40.5
695.0,FL026,gate_queued,c11,,,
695.5,FL024,task_completed,,,BAGGAGE_IN,
695.5,FL024,task_completed,,,GPU,
695.5,FL024,gate_end,c9,,,40.5
696.7,FL025,task_completed,,,BAGGAGE_IN,
696.7,FL025,task_completed,,,GPU,
696.7,FL025,gate_end,c11,,,40.700000000000045
696.7,FL026,gate_start,c11,1.7000000000000455,,
706.0,FL027,gate_queued,c4,,,
706.0,FL027,gate_start,c4,0.0,,
707.4000000000001,FL026,task_completed,,,WATER,
708.0,FL028,gate_queued,c5,,,
708.0,FL028,gate_start,c5,0.0,,
712.4000000000001,FL026,task_completed,,,FUEL,
716.5,FL027,task_completed,,,WATER,
717.4000000000001,FL026,task_completed,,,BAGGAGE_OUT,
718.3,FL028,task_completed,,,WATER,
721.5,FL027,task_completed,,,FUEL,
722.4000000000001,FL026,task_completed,,,CLEAN,
722.4000000000001,FL026,task_completed,,,CATERING,
723.3,FL028,task_completed,,,FUEL,
726.0,FL029,gate_queued,c8,,,
726.0,FL029,gate_start,c8,0.0,,
726.5,FL027,task_completed,,,BAGGAGE_OUT,
728.3,FL028,task_completed,,,BAGGAGE_OUT,
731.5,FL027,task_completed,,,CLEAN,
731.5,FL027,task_completed,,,CATERING,
733.3,FL028,task_completed,,,CLEAN,
733.3,FL028,task_completed,,,CATERING,
736.4,FL029,task_completed,,,WATER,
737.4000000000001,FL026,task_completed,,,BAGGAGE_IN,
737.4000000000001,FL026,task_completed,,,GPU,
737.4000000000001,FL026,gate_end,c11,,,40.700000000000045
741.4,FL029,task_completed,,,FUEL,
746.4,FL029,task_completed,,,BAGGAGE_OUT,
746.5,FL027,task_completed,,,BAGGAGE_IN,
746.5,FL027,task_completed,,,GPU,
746.5,FL027,gate_end,c4,,,40.5
748.3,FL028,task_completed,,,BAGGAGE_IN,
748.3,FL028,task_completed,,,GPU,
748.3,FL028,gate_end,c5,,,40.299999999999955
751.4,FL029,task_completed,,,CLEAN,
751.4,FL029,task_completed,,,CATERING,
766.4,FL029,task_completed,,,BAGGAGE_IN,
766.4,FL029,task_completed,,,GPU,
766.4,FL029,gate_end,c8,,,40.39999999999998
769.0,FL030,gate_queued,c9,,,
769.0,FL030,gate_start,c9,0.0,,
772.0,FL031,gate_queued,c8,,,
772.0,FL032,gate_queued,c4,,,
772.0,FL031,gate_start,c8,0.0,,
772.0,FL032,gate_start,c4,0.0,,
779.5,FL030,task_completed,,,WATER,
782.4,FL031,task_completed,,,WATER,
782.5,FL032,task_completed,,,WATER,
784.5,FL030,task_completed,,,FUEL,
786.0,FL033,gate_queued,c3,,,
786.0,FL033,gate_start,c3,0.0,,
787.4,FL031,task_completed,,,FUEL,
787.5,FL032,task_completed,,,FUEL,
789.5,FL030,task_completed,,,BAGGAGE_OUT,
792.4,FL031,task_completed,,,BAGGAGE_OUT,
